time,open,high,low,close,tick_volume,spread,real_volume,hourly_time,time2,prev_hour_lsma_slope,prev_hour_macd_line,hour_lsma,fixed_support_gradient,fixed_resistance_gradient,prev_hour_lsma,fixed_support_trendline,fixed_resistance_trendline,ema_short,ema_long,lsma,macd_line,macd_signal,lsma_stddev,lsma_slope,prev_lsma_slope_1,prev_lsma_slope_2,lsma_upper_band,lsma_lower_band,stoch_k,stoch_d,is_buy2,is_sell2,tp,sl,be,be_condition
2024-05-29 21:30:00,67348.297,67463.539,67242.273,67449.336,1703,36421,0,2024-05-29 21:00:00,2024-05-29 21:00:00,-23.519345238179085,,67509.57646428572,-0.0017786188226021483,-0.001890717974678328,67574.06497619044,66385.13843107657,67143.05550609053,67527.96140824514,67644.0469108367,67469.32725180603,-76.9472361934022,-79.5843963349348,221.24732132470857,10.10576367386966,-17.145037151654833,-3.583981768169906,67769.51113559438,67170.64336801767,40.83777168771896,48.41550739864331,False,False,,,,
2024-05-29 21:45:00,67443.797,67508.141,67355.836,67426.234,1841,36421,0,2024-05-29 21:00:00,2024-05-29 21:00:00,-23.519345238179085,,67509.57646428572,-0.0017786188226021483,-0.001890717974678328,67574.06497619044,66385.13843107657,67143.05550609053,67512.3110377459,67627.9126211451,67461.1274186447,-76.56789269008732,-78.98109560596531,222.70154885995103,-8.19983316132857,10.10576367386966,-17.145037151654833,67761.77450960563,67158.98032768376,41.36564803726828,43.7327608219716,False,False,,,,
2024-05-29 22:00:00,67417.156,67567.438,67372.031,67557.039,1234,36421,0,2024-05-29 22:00:00,2024-05-29 22:00:00,-64.48851190471032,,67405.80520238097,-0.0011968830365312768,-0.001322918130176256,67509.57646428572,66542.05801434783,67402.34302996822,67519.19226270806,67622.6627232825,67486.0486068111,-72.02412711146462,-77.58970190706518,214.50043569377664,24.921188166408683,-8.19983316132857,10.10576367386966,67777.1241949977,67196.47301862451,54.251890450127604,45.485103391704946,True,False,68057.039,67157.039,67657.039,67707.039
2024-05-29 22:15:00,67557.641,67771.734,67496.297,67740.039,1140,36421,0,2024-05-29 22:00:00,2024-05-29 22:00:00,-64.48851190471032,,67405.80520238097,-0.0011968830365312768,-0.001322918130176256,67509.57646428572,66542.05801434783,67402.34302996822,67553.16868382989,67631.35726229861,67540.40157722728,-62.50130203802837,-74.57202193325782,176.71594127206512,54.35297041617741,24.921188166408683,-8.19983316132857,67780.46809794457,67301.83505651,71.54597818846537,55.721172225287084,False,False,,,,
2024-05-29 22:30:00,67736.492,67740.438,67385.344,67388.039,1740,36421,0,2024-05-29 22:00:00,2024-05-29 22:00:00,-64.48851190471032,,67405.80520238097,-0.0011968830365312768,-0.001322918130176256,67509.57646428572,66542.05801434783,67402.34302996822,67527.76411708683,67613.33368731353,67521.54919470243,-64.1201145027444,-72.48164044715513,173.55826660419697,-18.852382524855784,54.35297041617741,24.921188166408683,67755.85285461809,67285.74553478677,65.13705404835335,63.64497422898211,False,False,,,,
2024-05-29 22:45:00,67381.938,67469.836,67245.641,67297.734,1652,36421,0,2024-05-29 22:00:00,2024-05-29 22:00:00,-64.48851190471032,,67405.80520238097,-0.0011968830365312768,-0.001322918130176256,67509.57646428572,66542.05801434783,67402.34302996822,67492.37486830424,67589.9559326977,67498.31064121088,-67.66014271421591,-71.51734090056729,173.10606794736583,-23.23855349155201,-18.852382524855784,54.35297041617741,67732.00383293982,67263.11744948193,45.300246154867466,60.661092797228726,False,False,,,,
2024-05-29 23:00:00,67297.734,67365.141,67151.883,67305.539,1525,36421,0,2024-05-29 23:00:00,2024-05-29 23:00:00,-103.77126190475246,,67412.7231190476,-0.0004823447987547662,-0.0013229088705716079,67405.80520238097,66849.06107336986,67313.57485061974,67463.63088856512,67568.88801175712,67462.76713931888,-69.99691166284902,-71.21325505302364,164.64747858225874,-35.54350189199613,-23.23855349155201,-18.852382524855784,67685.04123540493,67238.99304323283,21.82950273729111,44.08893431350398,False,False,,,,
2024-05-29 23:15:00,67306.234,67351.438,67206.672,67314.539,1427,56421,0,2024-05-29 23:00:00,2024-05-29 23:00:00,-103.77126190475246,,67412.7231190476,-0.0004823447987547662,-0.0013229088705716079,67405.80520238097,66849.06107336986,67313.57485061974,67440.69367493973,67550.04734421957,67425.06209872715,-71.26861552636547,-71.22432714769201,149.83822072298318,-37.705040591725265,-35.54350189199613,-23.23855349155201,67627.34369670319,67221.28050075112,20.501773582890724,29.210507491683103,False,False,,,,
2024-05-29 23:30:00,67314.938,67432.438,67300.023,67403.438,1186,56421,0,2024-05-29 23:00:00,2024-05-29 23:00:00,-103.77126190475246,,67412.7231190476,-0.0004823447987547662,-0.0013229088705716079,67405.80520238097,66849.06107336986,67313.57485061974,67434.96203264131,67539.1873927959,67389.71289611282,-69.35002821413218,-70.84946736098004,146.74919139694836,-35.34920261433581,-37.705040591725265,-35.54350189199613,67587.8243044987,67190.10148772693,30.537822799350323,24.28969970651072,False,False,,,,
2024-05-29 23:45:00,67401.633,67518.234,67366.039,67485.711,997,56421,0,2024-05-29 23:00:00,2024-05-29 23:00:00,-103.77126190475246,,67412.7231190476,-0.0004823447987547662,-0.0013229088705716079,67405.80520238097,66849.06107336986,67313.57485061974,67442.76956608112,67535.22617851471,67380.07905366365,-64.93891303482815,-69.66735649574966,138.27327019471412,-9.633842449169606,-35.34920261433581,-37.705040591725265,67566.74796842651,67191.91013890078,40.22681795033514,30.42213811085873,False,False,,,,
